Class,MeanIntensity,Contrast,EdgeDensity,Asymmetry
0,72.00518798828125,49.00791061323285,0.18597412109375,35.7496337890625
0,34.21844482421875,43.869502795348794,0.13897705078125,34.2740478515625
0,23.146728515625,40.933868863775444,0.085205078125,21.7236328125
0,31.86077880859375,37.607753259837686,0.09820556640625,31.6539306640625
0,24.613037109375,42.225603925921284,0.08282470703125,30.090576171875
0,63.7935791015625,92.85339018122636,0.18035888671875,81.20654296875
0,32.38421630859375,44.70618487644765,0.12762451171875,31.7742919921875
0,33.58074951171875,41.366920567183506,0.054931640625,27.2991943359375
0,27.44854736328125,40.78749549984177,0.1090087890625,29.6492919921875
0,68.147705078125,65.4193478554693,0.15771484375,55.28857421875
0,22.1212158203125,40.65957908264707,0.07672119140625,21.865234375
0,26.96307373046875,45.60030411709677,0.0999755859375,32.1949462890625
0,31.73370361328125,39.82210284262547,0.06396484375,36.5623779296875
0,61.9237060546875,79.69432822789113,0.297607421875,56.583251953125
0,15.75311279296875,35.32497734938195,0.061767578125,19.9078369140625
0,49.43048095703125,62.071999769492805,0.11163330078125,13.1678466796875
0,31.40447998046875,43.56368426640898,0.12261962890625,40.0257568359375
0,23.4639892578125,37.19688428211104,0.064208984375,19.8818359375
0,29.20477294921875,42.960023252140175,0.114990234375,29.2225341796875
0,56.731689453125,75.54237662200228,0.30804443359375,59.71630859375
0,46.8924560546875,73.61825764121257,0.18994140625,53.430419921875
0,31.15838623046875,43.568555098738834,0.13336181640625,28.3597412109375
0,78.3375244140625,74.20621172462526,0.16680908203125,78.079345703125
0,36.732666015625,17.461556331924875,0.0406494140625,12.537841796875
0,30.7203369140625,42.17822278184474,0.10101318359375,31.35595703125
0,39.55340576171875,37.125818125092245,0.12286376953125,33.7186279296875
0,31.3326416015625,35.830122449696184,0.07904052734375,27.64404296875
0,84.08148193359375,50.51630416195131,0.1241455078125,38.5045166015625
0,28.9637451171875,40.85193262809802,0.09173583984375,26.405029296875
0,34.07958984375,45.91064546081493,0.133056640625,40.5009765625
0,123.48736572265625,37.77588731771447,0.18646240234375,36.8990478515625
0,28.77166748046875,46.061068133091595,0.072021484375,25.4722900390625
0,32.43170166015625,43.67156303986139,0.10076904296875,38.1246337890625
0,32.93292236328125,20.658550602426008,0.04962158203125,10.5821533203125
0,65.940185546875,47.573137940241,0.2166748046875,27.31005859375
0,36.94317626953125,52.047885910975644,0.12890625,32.5958251953125
0,39.75775146484375,69.42434087677432,0.170166015625,47.2608642578125
0,24.90948486328125,36.86834616713731,0.0758056640625,21.0955810546875
0,24.4207763671875,34.79698126643501,0.0732421875,22.657470703125
0,31.37841796875,38.87330888400069,0.10650634765625,28.15087890625
0,127.755126953125,40.425499910950876,0.256591796875,40.30078125
0,53.22857666015625,71.19389966072822,0.279296875,52.5013427734375
0,34.3321533203125,44.6818973361968,0.11578369140625,27.9599609375
0,24.53302001953125,39.31327637983602,0.08404541015625,17.0384521484375
0,33.43975830078125,47.380561790528745,0.12689208984375,33.3719482421875
0,31.8758544921875,35.42099232472024,0.08453369140625,27.699951171875
0,45.49169921875,38.247865601745914,0.1221923828125,31.13720703125
0,90.1806640625,82.87970785287416,0.30511474609375,71.6650390625
0,51.253662109375,20.40580400706849,0.05645751953125,14.068359375
0,96.166748046875,75.20025042404356,0.181396484375,52.060546875
1,28.83203125,60.99824283758066,0.14691162109375,41.2421875
1,36.12261962890625,30.269650627230167,0.1163330078125,18.6553955078125
1,22.066650390625,33.66541340424256,0.08221435546875,21.967529296875
1,35.71630859375,44.86757683257081,0.14361572265625,37.019287109375
1,28.93878173828125,32.88062459132792,0.06793212890625,28.5191650390625
1,36.07110595703125,44.49669311687562,0.13995361328125,34.2352294921875
1,29.57647705078125,34.41814424418941,0.07269287109375,22.9832763671875
1,30.63250732421875,40.69227477038751,0.10430908203125,21.6068115234375
1,37.38836669921875,40.042793136178474,0.13262939453125,29.5457763671875
1,20.4683837890625,28.007381689942804,0.0614013671875,17.69775390625
1,29.04022216796875,52.43314340373592,0.22314453125,39.5042724609375
1,35.23291015625,37.82814372840994,0.11773681640625,31.987548828125
1,53.244140625,47.51206507796112,0.17724609375,37.72314453125
1,38.347412109375,39.58445231872148,0.133056640625,29.9111328125
1,50.30078125,45.92976906008875,0.1724853515625,36.492431640625
1,27.39288330078125,37.3569406703376,0.132568359375,29.3184814453125
1,20.4449462890625,23.78640089476363,0.03033447265625,13.5380859375
1,35.48291015625,30.8391243037161,0.09857177734375,25.138916015625
1,47.0323486328125,39.28996495473215,0.174560546875,34.113525390625
1,32.64215087890625,40.12565022305481,0.11309814453125,27.6326904296875
1,136.80596923828125,34.03062242610379,0.23345947265625,34.2728271484375
1,38.028076171875,41.152062569460114,0.171142578125,40.697265625
1,42.24365234375,43.228289560205944,0.1727294921875,42.3046875
1,125.52703857421875,35.6349903942723,0.21453857421875,36.4344482421875
1,49.9671630859375,52.58507356442641,0.1629638671875,48.520263671875
1,48.81976318359375,49.36273257952152,0.18402099609375,47.0032958984375
1,126.18878173828125,35.97954834420449,0.191650390625,33.0970458984375
1,53.62713623046875,58.66106715079029,0.16510009765625,57.3541259765625
1,40.6689453125,45.38531485140399,0.15411376953125,38.8623046875
1,29.48291015625,41.41535514191555,0.12335205078125,33.318359375
1,33.2935791015625,47.683671596229495,0.0943603515625,44.266845703125
1,32.11724853515625,42.11131993824416,0.12811279296875,24.2349853515625
